count;ultrasonic (s);laser (num);distance (cm);Shape
271;1356;238;20;concave
272;1356;238;20;concave
273;1350;242;20;concave
274;1350;242;20;concave
275;1356;242;20;concave
276;1356;242;20;concave
277;1356;239;20;concave
278;1356;239;20;concave
279;1356;239;20;concave
280;1356;239;20;concave
281;1992;326;30;concave
282;1992;326;30;concave
283;1951;325;30;concave
284;1951;325;30;concave
285;1950;325;30;concave
286;1950;325;30;concave
287;1957;325;30;concave
288;1957;325;30;concave
289;1951;324;30;concave
290;1951;324;30;concave
291;1950;323;30;concave
292;1950;323;30;concave
293;1951;323;30;concave
294;1951;323;30;concave
295;1957;322;30;concave
296;1957;322;30;concave
297;1950;323;30;concave
298;1950;323;30;concave
299;1950;326;30;concave
300;1950;326;30;concave
301;1950;324;30;concave
302;1950;324;30;concave
303;1956;321;30;concave
304;1956;321;30;concave
305;1950;326;30;concave
306;1950;326;30;concave
307;1951;322;30;concave
308;1951;322;30;concave
309;1950;326;30;concave
310;1950;326;30;concave
311;1957;323;30;concave
312;1957;323;30;concave
313;1950;320;30;concave
314;1950;320;30;concave
315;1951;322;30;concave
316;1951;322;30;concave
317;1950;322;30;concave
318;1950;322;30;concave
319;1956;324;30;concave
320;1956;324;30;concave
321;1950;376;40;concave
322;1950;376;40;concave
323;2297;366;40;concave
324;2297;366;40;concave
325;2455;366;40;concave
326;2455;366;40;concave
327;2503;368;40;concave
328;2503;368;40;concave
329;2479;368;40;concave
330;2479;368;40;concave
331;2497;367;40;concave
332;2497;367;40;concave
333;2521;366;40;concave
334;2521;366;40;concave
335;2503;369;40;concave
336;2503;369;40;concave
337;2477;369;40;concave
338;2477;369;40;concave
339;2527;367;40;concave
340;2527;367;40;concave
341;2520;367;40;concave
342;2520;367;40;concave
343;2520;366;40;concave
344;2520;366;40;concave
345;2527;369;40;concave
346;2527;369;40;concave
347;2527;369;40;concave
348;2527;369;40;concave
349;2527;365;40;concave
350;2527;365;40;concave
351;2497;365;40;concave
352;2497;365;40;concave
353;2521;372;40;concave
354;2521;372;40;concave
355;2527;364;40;concave
356;2527;364;40;concave
357;2527;370;40;concave
358;2527;370;40;concave
359;2527;368;40;concave
360;2527;368;40;concave
361;2045;436;50;concave
362;2045;436;50;concave
363;3121;431;50;concave
364;3121;431;50;concave
365;3106;430;50;concave
366;3106;430;50;concave
367;3130;431;50;concave
368;3130;431;50;concave
369;3130;434;50;concave
370;3130;434;50;concave
371;3129;430;50;concave
372;3129;430;50;concave
373;3129;437;50;concave
374;3129;437;50;concave
375;3130;430;50;concave
376;3130;430;50;concave
377;3130;429;50;concave
378;3130;429;50;concave
379;3129;431;50;concave
380;3129;431;50;concave
381;3130;434;50;concave
382;3130;434;50;concave
383;3130;432;50;concave
384;3130;432;50;concave
385;3129;433;50;concave
386;3129;433;50;concave
387;3130;432;50;concave
388;3130;432;50;concave
389;3130;432;50;concave
390;3130;432;50;concave
391;3123;433;50;concave
392;3123;433;50;concave
393;3130;434;50;concave
394;3130;434;50;concave
395;3130;429;50;concave
396;3130;429;50;concave
397;3130;438;50;concave
398;3130;438;50;concave
399;3130;433;50;concave
400;3130;433;50;concave
401;542;108;10;plane
402;541;106;10;plane
403;541;106;10;plane
404;535;108;10;plane
405;535;108;10;plane
406;536;107;10;plane
407;536;107;10;plane
408;535;107;10;plane
409;535;107;10;plane
410;541;105;10;plane
411;541;105;10;plane
412;541;107;10;plane
413;541;107;10;plane
414;541;107;10;plane
415;541;107;10;plane
416;535;107;10;plane
417;535;107;10;plane
418;535;105;10;plane
419;535;105;10;plane
420;542;104;10;plane
421;542;104;10;plane
422;541;108;10;plane
423;541;108;10;plane
424;542;105;10;plane
425;542;105;10;plane
426;535;107;10;plane
427;535;107;10;plane
428;535;107;10;plane
429;535;107;10;plane
430;536;105;10;plane
431;536;105;10;plane
432;541;110;10;plane
433;541;110;10;plane
434;541;107;10;plane
435;541;107;10;plane
436;541;105;10;plane
437;541;105;10;plane
438;535;107;10;plane
439;535;107;10;plane
440;535;108;10;plane
441;562;205;20;plane
442;562;205;20;plane
443;1082;219;20;plane
444;1082;219;20;plane
445;1118;223;20;plane
446;1118;223;20;plane
447;1115;218;20;plane
448;1115;218;20;plane
449;1100;219;20;plane
450;1100;219;20;plane
451;1097;217;20;plane
452;1097;217;20;plane
453;1100;215;20;plane
454;1100;215;20;plane
455;1104;221;20;plane
456;1104;221;20;plane
457;1106;218;20;plane
458;1106;218;20;plane
459;1100;217;20;plane
460;1100;217;20;plane
461;1106;220;20;plane
462;1106;220;20;plane
463;1106;219;20;plane
464;1106;219;20;plane
465;1106;219;20;plane
466;1106;219;20;plane
467;1106;220;20;plane
468;1106;220;20;plane
469;1104;219;20;plane
470;1104;219;20;plane
471;1103;220;20;plane
472;1103;220;20;plane
473;1103;220;20;plane
474;1103;220;20;plane
475;1103;215;20;plane
476;1103;215;20;plane
477;1103;223;20;plane
478;1103;223;20;plane
479;1103;218;20;plane
480;1103;218;20;plane
481;1166;321;30;plane
482;1166;321;30;plane
483;1746;316;30;plane
484;1746;316;30;plane
485;1716;313;30;plane
486;1716;313;30;plane
487;1745;314;30;plane
488;1745;314;30;plane
489;1740;316;30;plane
490;1740;316;30;plane
491;1739;318;30;plane
492;1739;318;30;plane
493;1740;316;30;plane
494;1740;316;30;plane
495;1739;316;30;plane
496;1739;316;30;plane
497;1715;315;30;plane
498;1715;315;30;plane
